Date,Open,High,Low,INR Gold Price per Troy,IND Inflation,Price
"Feb 18, 2014",62.02,62.31,61.96,82187,,62.18
"Feb 19, 2014",62.2,62.24,62.2,82171.4,,62.24
"Feb 20, 2014",62.38,62.45,62.213,81943.1,,62.24
"Feb 21, 2014",62.19,62.19,62.055,82140.7,,62.14
"Feb 24, 2014",62.105,62.16,61.945,82814.6,,62.075
"Feb 25, 2014",61.985,62.05,61.86,82997.9,,61.985
"Feb 26, 2014",61.965,62.055,61.885,82588.5,,61.985
"Feb 27, 2014",61.995,61.995,61.995,82619.5,,61.995
"Feb 28, 2014",62.105,62.14,61.755,82216.5,,61.795
"Mar 3, 2014",61.955,62.09,61.815,83709.5,,62.045
"Mar 4, 2014",62.135,62.155,61.835,82681.1,,61.905
"Mar 5, 2014",61.905,61.91,61.65,82486.2,,61.755
"Mar 6, 2014",61.535,61.535,61.105,82396.6,,61.115
"Mar 07, 2014",61.015,61.175,60.945,81577.1,,61.085
"Mar 10, 2014",61.255,61.335,60.79,81816,,60.845
"Mar 11, 2014",60.885,60.975,60.605,82006.8,,60.945
"Mar 12, 2014",60.945,61.295,60.945,83554.8,,61.22
"Mar 13, 2014",61.025,61.185,60.915,83685.4,,61.175
"Mar 14, 2014",61.415,61.555,61.055,84713.5,,61.205
"Mar 17, 2014",61.13,61.13,61.07,84315.9,,61.09
"Mar 18, 2014",61.035,61.215,60.875,82817.7,,61.115
"Mar 19, 2014",61.085,61.185,60.925,81624.7,,60.975
"Mar 20, 2014",61.39,61.39,61.07,81285.4,,61.34
"Mar 21, 2014",61.195,61.205,60.9,81549.4,,60.9
"Mar 24, 2014",60.855,60.855,60.645,79700.1,,60.78
"Mar 25, 2014",60.605,60.605,60.435,79440.5,,60.485
"Mar 26, 2014",60.305,60.305,60.065,78409.5,,60.145
"Mar 27, 2014",60.245,60.355,60.125,78038.6,,60.245
"Mar 28, 2014",60.19,60.19,59.69,77325.7,,59.89
"Mar 31, 2014",59.91,60.02,59.91,77146.5,,60.015
"Apr 1, 2014",59.935,60.045,59.935,76668.7,,60.015
"Apr 2, 2014",59.815,59.915,59.575,77268.1,,59.905
"Apr 3, 2014",59.955,60.3,59.835,77290.4,,60.17
"Apr 4, 2014",60.355,60.398,60.075,78075,,60.085
"Apr 7, 2014",59.905,60.25,59.765,78066.6,,60.115
"Apr 08, 2014",60.13,60.15,60.03,78697.7,,60.09
"Apr 09, 2014",59.975,60.155,59.825,78254.7,,60.145
"Apr 10, 2014",60.045,60.295,60.035,79388.5,,60.075
"Apr 11, 2014",60.325,60.345,60.14,79389.7,,60.18
"Apr 14, 2014",60.255,60.255,60.255,79856.5,,60.255
"Apr 15, 2014",60.355,60.355,60.205,78191.5,,60.235
"Apr 16, 2014",60.305,60.425,60.185,78552,,60.375
"Apr 17, 2014",60.295,60.505,60.27,78453.1,,60.295
"Apr 18, 2014",60.295,60.295,60.235,78453.1,,60.295
"Apr 21, 2014",60.265,60.615,60.265,78557,,60.595
"Apr 22, 2014",60.675,60.885,60.635,78343.8,,60.765
"Apr 23, 2014",60.885,61.195,60.865,78470.9,,61.095
"Apr 24, 2014",61.01,61.14,61.01,78852.5,,61.11
"Apr 25, 2014",61.055,61.15,60.543,78927.3,,60.645
"Apr 28, 2014",60.605,60.74,60.433,78660.9,,60.65
"Apr 29, 2014",60.615,60.635,60.315,78413.3,,60.425
"Apr 30, 2014",60.355,60.415,60.225,77715.9,,60.345
"May 1, 2014",60.27,60.27,60.27,77112.7,,60.27
"May 2, 2014",60.235,60.285,60.105,77144.1,,60.185
"May 5, 2014",60.09,60.25,60.008,77105.6,,60.24
"May 6, 2014",60.075,60.245,59.975,78469.7,,59.985
"May 7, 2014",60.055,60.155,59.965,77837.8,,60.025
"May 08, 2014",59.965,60.1,59.88,77226.4,,59.9
"May 09, 2014",60.065,60.1,59.87,77468.5,,59.965
"May 12, 2014",59.905,60.115,59.513,77749.7,,60.055
"May 13, 2014",59.965,59.965,59.46,77504.8,,59.465
"May 14, 2014",59.405,59.515,59.39,78027.8,,59.485
"May 15, 2014",59.415,59.615,59.1,76829.3,,59.465
"May 16, 2014",59.365,59.365,58.585,76237.2,,58.585
"May 19, 2014",58.565,58.615,58.375,76147.5,,58.375
"May 20, 2014",58.595,58.825,58.525,76123.6,,58.59
"May 21, 2014",58.705,58.875,58.635,75658.1,,58.695
"May 22, 2014",58.615,58.7,58.265,75968.7,,58.285
"May 23, 2014",58.465,58.555,58.33,75368.7,,58.525
"May 26, 2014",58.445,58.925,58.41,75914.4,,58.715
"May 27, 2014",58.715,59.097,58.655,75286.4,,59.045
"May 28, 2014",58.955,59.22,58.815,74388.6,,58.945
"May 29, 2014",58.935,59.085,58.795,74063.8,,58.92
"May 30, 2014",59.045,59.195,58.94,73892,,59.195
"Jun 2, 2014",59.105,59.275,59.065,73706.2,,59.155
"Jun 3, 2014",59.08,59.432,59.08,73766.5,,59.34
"Jun 4, 2014",59.435,59.465,59.215,73899.3,,59.28
"Jun 5, 2014",59.28,59.37,59.195,74285.8,,59.26
"Jun 6, 2014",59.165,59.315,59.105,73810.2,,59.175
"Jun 09, 2014",59.105,59.21,58.975,74150.8,,59.205
"Jun 10, 2014",59.135,59.35,59.135,74669.4,,59.215
"Jun 11, 2014",59.33,59.37,59.23,74817.7,,59.34
"Jun 12, 2014",59.235,59.375,59.1,75027.3,,59.295
"Jun 13, 2014",59.31,59.81,59.3,76029.9,,59.71
"Jun 16, 2014",59.715,60.24,59.715,76654.8,,60.185
"Jun 17, 2014",60.115,60.525,60.035,76208.4,,60.33
"Jun 18, 2014",60.215,60.545,60.065,76686.5,,60.3
"Jun 19, 2014",60.225,60.225,59.855,77728.7,,60.095
"Jun 20, 2014",60.235,60.345,60.135,78953.4,,60.175
"Jun 23, 2014",60.065,60.305,60.015,79066.1,,60.16
"Jun 24, 2014",60.09,60.175,60.08,79241.8,,60.16
"Jun 25, 2014",60.255,60.4,60.085,79235.4,,60.085
"Jun 26, 2014",60.035,60.26,60.035,78911.6,,60.21
"Jun 27, 2014",60.21,60.21,60.045,79162,,60.045
"Jun 30, 2014",60.045,60.28,60.005,79090.7,,60.06
"Jul 1, 2014",60.085,60.2,60.06,79762.8,,60.06
"Jul 2, 2014",60.035,60.095,59.59,79152.3,,59.692
"Jul 3, 2014",59.675,59.85,59.53,78819.4,,59.74
"Jul 4, 2014",59.745,59.83,59.645,78904.3,,59.725
"Jul 7, 2014",59.815,60.06,59.735,78817.8,,59.955
"Jul 8, 2014",59.955,60.005,59.665,79141.9,,59.755
"Jul 09, 2014",59.755,59.95,59.685,79080.6,,59.765
"Jul 10, 2014",59.685,60.225,59.575,80388.2,,60.195
"Jul 11, 2014",60.115,60.315,59.925,80186.8,,60.095
"Jul 14, 2014",59.97,60.215,59.915,78533,,60.125
"Jul 15, 2014",60.045,60.25,60.005,78776.8,,60.125
"Jul 16, 2014",60.235,60.275,60.09,78261.7,,60.125
"July 17, 2014",60.025,60.2,60.025,78319.3,,60.185
"July 18, 2014",60.385,60.455,60.245,78859.9,,60.285
"July 21, 2014",60.285,60.34,60.165,79096.6,,60.245
"July 22, 2014",60.265,60.305,60.1,78949.1,,60.105
"July 23, 2014",60.145,60.21,59.96,78596.1,,60.02
"July 24, 2014",59.965,60.165,59.935,77687.8,,60.125
"July 25, 2014",60.055,60.195,60.01,77833.9,,60.06
"July 28, 2014",60.055,60.17,60.055,78444.5,,60.09
"July 29, 2014",60.125,60.14,60.1,78128.8,,60.13
"July 30, 2014",60.245,60.245,60.052,77780,,60.065
"July 31, 2014",60.245,60.565,60.205,77786.5,,60.555
"August 1, 2014",60.755,61.225,60.7,78856.6,,61.215
"August 4, 2014",61.205,61.205,60.875,78714,,60.945
"August 5, 2014",60.885,61.005,60.695,78125.6,,60.85
"August 6, 2014",61.035,61.525,61.025,80277.9,,61.5
"August 07, 2014",61.405,61.555,61.215,79992.2,,61.245
"August 08, 2014",61.245,61.745,61.135,80254.9,,61.145
"August 11, 2014",61.085,61.265,61.025,79971,,61.175
"August 12, 2014",61.125,61.225,61.075,80405.5,,61.085
"August 13, 2014",61.095,61.315,61.095,80366.6,,61.095
"August 14, 2014",61.105,61.12,60.765,79880.5,,60.765
"August 15, 2014",60.82,60.85,60.78,78816.2,,60.78
"Aug 18, 2014",60.78,60.78,60.78,78861.8,,60.78
"Aug 19, 2014",60.775,60.785,60.645,78710.5,,60.675
"Aug 20, 2014",60.845,60.885,60.52,78509.4,,60.615
"Aug 21, 2014",60.695,60.8,60.615,77394.9,,60.675
"Aug 22, 2014",60.495,60.56,60.365,77305.6,,60.47
"Aug 25, 2014",60.555,60.58,60.405,77334.3,,60.57
