,Date,Open,High,Low,INR Gold Price per Troy,IND Inflation,Price,USA Inflation
2097,2017-11-27,64.715,64.828,64.477,83598.7,,64.477,2.202583
2098,2017-11-28,64.54,64.613,64.37,83230.6,,64.41,2.202583
2099,2017-11-29,64.42,64.52,64.28,82633.4,,64.36,2.202583
2100,2017-11-30,64.55,64.635,64.41,82547.3,,64.49,2.202583
2101,2017-12-01,64.505,64.52,64.49,82244.2,,64.52,2.109082
2102,2017-12-04,64.56,64.56,64.29,82005.4,,64.38,2.109082
2103,2017-12-05,64.3,64.468,64.23,81541.8,,64.36,2.109082
2104,2017-12-06,64.445,64.555,64.398,81539.5,,64.53,2.109082
2105,2017-12-07,64.51,64.61,64.49,81046.3,,64.57,2.109082
2106,2017-12-08,64.565,64.59,64.435,80624.7,,64.48,2.109082
2107,2017-12-11,64.455,64.455,64.315,80269.7,,64.355,2.109082
2108,2017-12-12,64.42,64.53,64.4,79926.4,,64.41,2.109082
2109,2017-12-13,64.54,64.56,64.425,80088.8,,64.46,2.109082
2110,2017-12-14,64.36,64.375,64.255,80492.5,,64.34,2.109082
2111,2017-12-15,64.14,64.175,64.015,80429.3,,64.08,2.109082
2112,2017-12-18,64.16,64.73,64.09,80924.2,,64.21,2.109082
2113,2017-12-19,64.23,64.23,63.945,80755.3,,64.06,2.109082
