,Date,Open,INR Gold Price per Troy,IND Inflation,USA Inflation,Foreign direct investment net inflows (% of GDP) - IND,Foreign direct investment net inflows (% of GDP),Today Price
336,2011-04-18,44.235,66371.3,9.411765,3.163631,2.002065552,1.698016861,44.525
337,2011-04-19,44.415,66304.9,9.411765,3.163631,2.002065552,1.698016861,44.385
338,2011-04-20,44.355,66531.8,9.411765,3.163631,2.002065552,1.698016861,44.275
339,2011-04-21,44.21,66747.5,9.411765,3.163631,2.002065552,1.698016861,44.38
340,2011-04-22,44.31,66747.5,9.411765,3.163631,2.002065552,1.698016861,44.19
341,2011-04-25,44.197,66905.4,9.411765,3.163631,2.002065552,1.698016861,44.455
342,2011-04-26,44.39,66661.2,9.411765,3.163631,2.002065552,1.698016861,44.49
343,2011-04-27,44.435,67141.3,9.411765,3.163631,2.002065552,1.698016861,44.335
344,2011-04-28,44.32,68229.9,9.411765,3.163631,2.002065552,1.698016861,44.31
345,2011-04-29,44.317,67892.1,9.411765,3.163631,2.002065552,1.698016861,44.255
346,2011-05-02,44.22,68076.4,8.72093,3.568646,2.002065552,1.698016861,44.28
347,2011-05-03,44.27,68560.4,8.72093,3.568646,2.002065552,1.698016861,44.48
348,2011-05-04,44.43,68520.6,8.72093,3.568646,2.002065552,1.698016861,44.36
349,2011-05-05,44.355,67639.9,8.72093,3.568646,2.002065552,1.698016861,44.765
350,2011-05-06,44.73,66580.3,8.72093,3.568646,2.002065552,1.698016861,44.73
351,2011-05-09,44.68,67124.4,8.72093,3.568646,2.002065552,1.698016861,44.69
352,2011-05-10,44.645,67736.7,8.72093,3.568646,2.002065552,1.698016861,44.745
353,2011-05-11,44.71,67385,8.72093,3.568646,2.002065552,1.698016861,44.6
354,2011-05-12,44.575,67008.9,8.72093,3.568646,2.002065552,1.698016861,44.988
355,2011-05-13,44.895,67555.5,8.72093,3.568646,2.002065552,1.698016861,44.865
356,2011-05-16,44.825,67766.4,8.72093,3.568646,2.002065552,1.698016861,45.155
357,2011-05-17,45.08,66761.7,8.72093,3.568646,2.002065552,1.698016861,45.12
358,2011-05-18,45.045,67439.8,8.72093,3.568646,2.002065552,1.698016861,45.065
359,2011-05-19,45.025,67147.7,8.72093,3.568646,2.002065552,1.698016861,44.975
360,2011-05-20,44.93,67068.8,8.72093,3.568646,2.002065552,1.698016861,44.95
361,2011-05-23,44.905,68319.9,8.72093,3.568646,2.002065552,1.698016861,45.23
362,2011-05-24,45.165,69043.3,8.72093,3.568646,2.002065552,1.698016861,45.215
363,2011-05-25,45.155,69200.2,8.72093,3.568646,2.002065552,1.698016861,45.325
364,2011-05-26,45.245,68795.6,8.72093,3.568646,2.002065552,1.698016861,45.305
365,2011-05-27,45.23,69237.9,8.72093,3.568646,2.002065552,1.698016861,45.18
366,2011-05-30,45.105,69100,8.72093,3.568646,2.002065552,1.698016861,45.085
367,2011-05-31,45.045,69211.6,8.72093,3.568646,2.002065552,1.698016861,45.06
368,2011-06-01,45.005,68781,8.620689,3.558828,2.002065552,1.698016861,44.845
369,2011-06-02,44.805,69008.1,8.620689,3.558828,2.002065552,1.698016861,44.825
370,2011-06-03,44.77,68999.7,8.620689,3.558828,2.002065552,1.698016861,44.83
371,2011-06-06,44.745,69325.5,8.620689,3.558828,2.002065552,1.698016861,44.755
372,2011-06-07,44.685,69022.9,8.620689,3.558828,2.002065552,1.698016861,44.675
373,2011-06-08,44.635,68752.8,8.620689,3.558828,2.002065552,1.698016861,44.705
374,2011-06-09,44.655,68791.2,8.620689,3.558828,2.002065552,1.698016861,44.735
375,2011-06-10,44.67,68395.7,8.620689,3.558828,2.002065552,1.698016861,44.73
376,2011-06-13,44.69,68475.2,8.620689,3.558828,2.002065552,1.698016861,44.865
377,2011-06-14,44.789,67835.3,8.620689,3.558828,2.002065552,1.698016861,44.746
378,2011-06-15,44.66,68496.5,8.620689,3.558828,2.002065552,1.698016861,44.77
379,2011-06-16,44.67,68401.5,8.620689,3.558828,2.002065552,1.698016861,44.905
380,2011-06-17,44.85,68979.9,8.620689,3.558828,2.002065552,1.698016861,44.8
381,2011-06-20,44.74,69480,8.620689,3.558828,2.002065552,1.698016861,45
382,2011-06-21,44.91,69284,8.620689,3.558828,2.002065552,1.698016861,44.845
383,2011-06-22,44.76,69687.8,8.620689,3.558828,2.002065552,1.698016861,44.895
384,2011-06-23,44.81,68466.4,8.620689,3.558828,2.002065552,1.698016861,44.955
385,2011-06-24,44.845,68156.2,8.620689,3.558828,2.002065552,1.698016861,44.995
386,2011-06-27,44.91,67462.4,8.620689,3.558828,2.002065552,1.698016861,45.035
387,2011-06-28,44.96,67515,8.620689,3.558828,2.002065552,1.698016861,45.04
388,2011-06-29,44.96,67480.6,8.620689,3.558828,2.002065552,1.698016861,44.865
389,2011-06-30,44.79,67299.6,8.620689,3.558828,2.002065552,1.698016861,44.7
390,2011-07-01,44.66,66115.8,8.426967,3.628716,2.002065552,1.698016861,44.63
391,2011-07-04,44.55,66422.8,8.426967,3.628716,2.002065552,1.698016861,44.43
392,2011-07-05,44.432,67036.4,8.426967,3.628716,2.002065552,1.698016861,44.43
393,2011-07-06,44.402,67932.1,8.426967,3.628716,2.002065552,1.698016861,44.48
394,2011-07-07,44.42,67866.8,8.426967,3.628716,2.002065552,1.698016861,44.28
395,2011-07-08,44.25,68334.7,8.426967,3.628716,2.002065552,1.698016861,44.38
396,2011-07-11,44.345,69196.4,8.426967,3.628716,2.002065552,1.698016861,44.485
397,2011-07-12,44.45,69315.1,8.426967,3.628716,2.002065552,1.698016861,44.705
398,2011-07-13,44.585,70305,8.426967,3.628716,2.002065552,1.698016861,44.525
399,2011-07-14,44.44,70777.3,8.426967,3.628716,2.002065552,1.698016861,44.505
400,2011-07-15,44.455,70645.3,8.426967,3.628716,2.002065552,1.698016861,44.515
401,2011-07-18,44.44,71267.4,8.426967,3.628716,2.002065552,1.698016861,44.57
402,2011-07-19,44.51,71236.5,8.426967,3.628716,2.002065552,1.698016861,44.495
403,2011-07-20,44.425,70497.7,8.426967,3.628716,2.002065552,1.698016861,44.45
404,2011-07-21,44.405,71252.5,8.426967,3.628716,2.002065552,1.698016861,44.405
405,2011-07-22,44.36,71056.7,8.426967,3.628716,2.002065552,1.698016861,44.35
406,2011-07-25,44.275,71639.4,8.426967,3.628716,2.002065552,1.698016861,44.4
407,2011-07-26,44.345,71251.3,8.426967,3.628716,2.002065552,1.698016861,44.18
408,2011-07-27,44.125,71638.1,8.426967,3.628716,2.002065552,1.698016861,44.085
409,2011-07-28,44.025,71123.1,8.426967,3.628716,2.002065552,1.698016861,44.08
410,2011-07-29,44.02,71963.4,8.426967,3.628716,2.002065552,1.698016861,44.21
411,2011-08-01,44.105,71541.8,8.988764,3.771208,2.002065552,1.698016861,44.07
412,2011-08-02,44.01,72511.4,8.988764,3.771208,2.002065552,1.698016861,44.24
413,2011-08-03,44.185,73972.8,8.988764,3.771208,2.002065552,1.698016861,44.315
414,2011-08-04,44.245,74813.3,8.988764,3.771208,2.002065552,1.698016861,44.545
415,2011-08-05,44.46,74204.2,8.988764,3.771208,2.002065552,1.698016861,44.72
416,2011-08-08,44.645,76134.2,8.988764,3.771208,2.002065552,1.698016861,44.97
417,2011-08-09,44.905,78484.6,8.988764,3.771208,2.002065552,1.698016861,45.21
418,2011-08-10,45.105,80191.8,8.988764,3.771208,2.002065552,1.698016861,45.255
419,2011-08-11,45.175,79930.4,8.988764,3.771208,2.002065552,1.698016861,45.415
420,2011-08-12,45.32,78718.9,8.988764,3.771208,2.002065552,1.698016861,45.4
421,2011-08-15,45.295,78854.9,8.988764,3.771208,2.002065552,1.698016861,45.345
422,2011-08-16,45.245,80898.8,8.988764,3.771208,2.002065552,1.698016861,45.385
423,2011-08-17,45.255,81283.9,8.988764,3.771208,2.002065552,1.698016861,45.41
424,2011-08-18,45.305,83438.9,8.988764,3.771208,2.002065552,1.698016861,45.745
425,2011-08-19,45.65,84536.8,8.988764,3.771208,2.002065552,1.698016861,45.67
426,2011-08-22,45.755,85736,8.988764,3.771208,2.002065552,1.698016861,45.57
427,2011-08-23,45.665,85601.9,8.988764,3.771208,2.002065552,1.698016861,45.625
428,2011-08-24,45.535,81437.7,8.988764,3.771208,2.002065552,1.698016861,45.995
429,2011-08-25,45.895,79611.8,8.988764,3.771208,2.002065552,1.698016861,46.045
430,2011-08-26,45.96,82534.1,8.988764,3.771208,2.002065552,1.698016861,46.16
431,2011-08-29,46.055,82337.4,8.988764,3.771208,2.002065552,1.698016861,46.055
432,2011-08-30,45.955,84041.2,8.988764,3.771208,2.002065552,1.698016861,46.09
433,2011-08-31,45.99,83511.7,8.988764,3.771208,2.002065552,1.698016861,45.8
434,2011-09-01,45.75,83857,10.05587,3.868357,2.002065552,1.698016861,45.67
435,2011-09-02,45.655,85858.3,10.05587,3.868357,2.002065552,1.698016861,45.785
436,2011-09-05,45.755,87155.8,10.05587,3.868357,2.002065552,1.698016861,45.992
437,2011-09-06,45.895,87378.4,10.05587,3.868357,2.002065552,1.698016861,46.115
438,2011-09-07,46.005,83558.6,10.05587,3.868357,2.002065552,1.698016861,46.165
439,2011-09-08,46.055,85682.4,10.05587,3.868357,2.002065552,1.698016861,46.19
440,2011-09-09,46.105,86187.2,10.05587,3.868357,2.002065552,1.698016861,46.49
441,2011-09-12,46.445,86601.5,10.05587,3.868357,2.002065552,1.698016861,47.225
442,2011-09-13,47.135,86622.9,10.05587,3.868357,2.002065552,1.698016861,47.595
443,2011-09-14,47.485,86633.3,10.05587,3.868357,2.002065552,1.698016861,47.645
444,2011-09-15,47.55,84751.9,10.05587,3.868357,2.002065552,1.698016861,47.57
