,Date,Open,High,Low,INR Gold Price per Troy,IND Inflation,USA Inflation,"Foreign direct investment, net inflows (% of GDP) - IND","Foreign direct investment, net inflows (% of GDP)",Price
734,2012-10-25,53.735,53.83,53.475,92079.4,9.59596,2.162344,1.312934337,1.549619613,53.555
735,2012-10-26,53.555,53.585,53.455,92106.3,9.59596,2.162344,1.312934337,1.549619613,53.555
736,2012-10-29,53.855,54.09,53.757,92169.5,9.59596,2.162344,1.312934337,1.549619613,54.085
737,2012-10-30,54.085,54.195,53.805,92408.4,9.59596,2.162344,1.312934337,1.549619613,53.965
738,2012-10-31,53.965,54.209,53.775,92473.6,9.59596,2.162344,1.312934337,1.549619613,53.805
739,2012-11-01,53.81,53.94,53.66,92265.6,9.547739,1.764134,1.312934337,1.549619613,53.66
740,2012-11-02,53.685,53.875,53.602,90577.2,9.547739,1.764134,1.312934337,1.549619613,53.815
741,2012-11-05,53.875,54.685,53.755,91843.3,9.547739,1.764134,1.312934337,1.549619613,54.595
742,2012-11-06,54.505,54.798,54.355,92049.6,9.547739,1.764134,1.312934337,1.549619613,54.425
743,2012-11-07,54.355,54.358,53.965,92735,9.547739,1.764134,1.312934337,1.549619613,54.205
744,2012-11-08,54.205,54.677,54.115,93585.1,9.547739,1.764134,1.312934337,1.549619613,54.365
745,2012-11-09,54.315,54.79,54.23,95177.9,9.547739,1.764134,1.312934337,1.549619613,54.595
746,2012-11-12,54.585,55.125,54.585,95386.7,9.547739,1.764134,1.312934337,1.549619613,54.885
747,2012-11-13,54.975,55.045,54.835,94891.9,9.547739,1.764134,1.312934337,1.549619613,55.015
748,2012-11-14,54.895,55.025,54.805,94864.5,9.547739,1.764134,1.312934337,1.549619613,55.025
749,2012-11-15,55.005,55.09,54.655,93690.9,9.547739,1.764134,1.312934337,1.549619613,54.655
750,2012-11-16,54.705,55.195,54.625,94396.7,9.547739,1.764134,1.312934337,1.549619613,55.165
751,2012-11-19,55.155,55.175,54.91,95290,9.547739,1.764134,1.312934337,1.549619613,54.975
752,2012-11-20,55.065,55.145,54.785,95438.3,9.547739,1.764134,1.312934337,1.549619613,55.105
753,2012-11-21,55.105,55.375,55.022,95018.2,9.547739,1.764134,1.312934337,1.549619613,55.115
754,2012-11-22,55.085,55.29,55.005,95594.5,9.547739,1.764134,1.312934337,1.549619613,55.125
755,2012-11-23,55.22,55.61,55.2,96412.2,9.547739,1.764134,1.312934337,1.549619613,55.45
756,2012-11-26,55.465,55.895,55.435,97581.6,9.547739,1.764134,1.312934337,1.549619613,55.643
757,2012-11-27,55.545,55.782,55.355,96960.5,9.547739,1.764134,1.312934337,1.549619613,55.455
758,2012-11-28,55.545,55.72,55.545,94836.7,9.547739,1.764134,1.312934337,1.549619613,55.71
759,2012-11-29,55.64,55.64,54.71,94749.9,9.547739,1.764134,1.312934337,1.549619613,54.72
760,2012-11-30,54.845,54.845,54.23,93885.8,9.547739,1.764134,1.312934337,1.549619613,54.265
761,2012-12-03,54.355,54.785,54.25,94041,11.16751,1.741022,1.312934337,1.549619613,54.775
762,2012-12-04,54.735,54.975,54.61,92765.1,11.16751,1.741022,1.312934337,1.549619613,54.745
763,2012-12-05,54.69,54.69,54.425,92450,11.16751,1.741022,1.312934337,1.549619613,54.435
764,2012-12-06,54.555,54.585,54.03,91650.4,11.16751,1.741022,1.312934337,1.549619613,54.235
765,2012-12-07,54.255,54.565,54.115,92689.2,11.16751,1.741022,1.312934337,1.549619613,54.345
766,2012-12-10,54.315,54.575,54.245,93356.9,11.16751,1.741022,1.312934337,1.549619613,54.355
767,2012-12-11,54.495,54.495,54.255,92844.5,11.16751,1.741022,1.312934337,1.549619613,54.265
768,2012-12-12,54.215,54.345,54.14,93098,11.16751,1.741022,1.312934337,1.549619613,54.145
769,2012-12-13,54.335,54.535,54.115,92144.8,11.16751,1.741022,1.312934337,1.549619613,54.515
770,2012-12-14,54.545,54.695,54.275,92530.4,11.16751,1.741022,1.312934337,1.549619613,54.445
771,2012-12-17,54.375,54.895,54.285,92910.1,11.16751,1.741022,1.312934337,1.549619613,54.855
772,2012-12-18,54.815,55.065,54.635,93000.6,11.16751,1.741022,1.312934337,1.549619613,54.935
773,2012-12-19,54.945,54.945,54.515,90909,11.16751,1.741022,1.312934337,1.549619613,54.685
774,2012-12-20,54.565,54.935,54.485,90554.7,11.16751,1.741022,1.312934337,1.549619613,54.875
775,2012-12-21,54.835,55.285,54.685,91005.9,11.16751,1.741022,1.312934337,1.549619613,55.065
776,2012-12-24,55.035,55.215,54.955,90774.7,11.16751,1.741022,1.312934337,1.549619613,54.955
777,2012-12-25,55.015,55.015,55.015,90774.7,11.16751,1.741022,1.312934337,1.549619613,55.015
778,2012-12-26,54.995,55.115,54.815,90593,11.16751,1.741022,1.312934337,1.549619613,54.845
779,2012-12-27,54.805,55.02,54.695,90978,11.16751,1.741022,1.312934337,1.549619613,54.935
780,2012-12-28,54.944,54.98,54.755,90847.6,11.16751,1.741022,1.312934337,1.549619613,54.76
781,2012-12-31,54.805,55.005,54.625,90814.4,11.16751,1.741022,1.312934337,1.549619613,54.995
782,2013-01-01,54.995,54.995,54.665,90814.4,11.61616,1.594865,1.516275965,1.726212183,54.685
783,2013-01-02,54.688,54.688,54.24,92173.9,11.61616,1.594865,1.516275965,1.726212183,54.24
784,2013-01-03,54.355,54.615,54.175,91658.7,11.61616,1.594865,1.516275965,1.726212183,54.505
785,2013-01-04,54.46,55.185,54.36,90829.5,11.61616,1.594865,1.516275965,1.726212183,54.94
786,2013-01-07,55.04,55.345,54.825,90908.3,11.61616,1.594865,1.516275965,1.726212183,55.225
787,2013-01-08,55.165,55.395,54.935,91195.9,11.61616,1.594865,1.516275965,1.726212183,54.965
788,2013-01-09,55,55.095,54.725,90935.9,11.61616,1.594865,1.516275965,1.726212183,54.81
789,2013-01-10,54.76,54.855,54.425,91563.9,11.61616,1.594865,1.516275965,1.726212183,54.425
790,2013-01-11,54.57,54.885,54.36,90814.4,11.61616,1.594865,1.516275965,1.726212183,54.875
